STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/22/2017,0.51,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/23/2017,0.22,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/24/2017,0.6,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/25/2017,0.57,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/26/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/27/2017,0.55,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/28/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/29/2017,0.55,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/30/2017,0.48,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",3/31/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/1/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/2/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/3/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/4/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/5/2017,0.48,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/7/2017,0.14,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/8/2017,0.69,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/9/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/10/2017,0.12,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/11/2017,0.89,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/12/2017,0.07,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/13/2017,1.18,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/14/2017,0.24,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/15/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/16/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/17/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/18/2017,0.38,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/19/2017,0.21,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/20/2017,0.39,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/21/2017,0.08,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/22/2017,0.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/23/2017,0.3,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/24/2017,0.41,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/26/2017,0.13,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/27/2017,0.05,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/28/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",4/30/2017,0.03,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/1/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/2/2017,0.06,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/3/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/4/2017,0.24,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/5/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/6/2017,0.16,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/7/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/8/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/9/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/10/2017,0.03,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/11/2017,0.38,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/12/2017,0.21,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/13/2017,0.16,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/14/2017,0.24,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/15/2017,0.3,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/16/2017,0.06,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/17/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/18/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/19/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/20/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/23/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",5/24/2017,0,0,,,,
